JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449004.2,12.8,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449006.4,12.8,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449011.3,12.9,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449011.6,<12.1,,,Vis.,LVT,,,,,,,,V,,,,RU AND,,STD,,,,
2449013.5,12.7,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449028.2,12.6,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449034.8,11.5,,,Vis.,NRH,,,,,,,,V,,,,RU AND,,STD,,,,
2449035.2,12.3,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449036.5,11.5,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449038.3,11.7,,,Vis.,POX,,,,,,,,V,,,,RU AND,,STD,,,,
2449038.6,11.5,,,Vis.,LVT,,,,,,,,V,,,,RU AND,,STD,,,,
2449039.231,11.6,,,Vis.,OER,,,,,,,,V,,,,RU AND,,STD,,,,
2449044.4,11.4,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449059.5,11.0,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449066.2,11.3,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449066.5,10.9,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449073.5,11.0,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449155.5,11.3,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449158.4,11.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449163.8007,11.2,,,Vis.,MDW,,,,,,,,V,,,,RU AND,,STD,,,,
2449185.4,11.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449186.8,11.5,,,Vis.,LVT,,,,,,,,V,,,,RU AND,,STD,,,,
2449193.4,11.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449194.5,11.9,,,Vis.,POX,,,,,,,,V,,,,RU AND,,STD,,,,
2449199.9,11.5,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2449200.5,12.0,,,Vis.,SCZ,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449208.3,11.5,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449211.5,12.3,,,Vis.,SBT,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449212.3,11.7,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449212.4,12.5,,,Vis.,TIA,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449215.5,12.2,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449220.5,12.8,,,Vis.,SCZ,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449221.3,12.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
